ID,Predicted_Results
1.0,0
2.0,0
8.0,0
13.0,0
14.0,0
16.0,1
18.0,0
25.0,0
26.0,0
33.0,0
37.0,0
38.0,0
39.0,0
41.0,0
43.0,0
47.0,0
49.0,0
50.0,0
55.0,0
60.0,0
61.0,0
74.0,0
75.0,0
79.0,0
81.0,1
83.0,0
86.0,0
91.0,0
93.0,0
96.0,1
102.0,0
119.0,0
123.0,0
126.0,0
138.0,0
140.0,0
150.0,0
156.0,0
160.0,0
161.0,0
163.0,0
164.0,0
175.0,0
183.0,0
185.0,1
198.0,1
202.0,0
211.0,0
213.0,0
218.0,0
219.0,0
223.0,0
225.0,0
230.0,0
242.0,1
247.0,0
255.0,1
258.0,0
265.0,0
266.0,0
270.0,0
274.0,0
275.0,0
278.0,0
279.0,0
286.0,0
294.0,0
301.0,0
302.0,1
317.0,0
327.0,0
331.0,0
336.0,0
337.0,0
347.0,0
348.0,0
351.0,0
355.0,1
359.0,0
362.0,0
363.0,0
364.0,0
365.0,0
366.0,1
375.0,0
382.0,0
384.0,0
385.0,0
393.0,0
397.0,0
399.0,0
401.0,0
402.0,0
405.0,0
408.0,0
409.0,1
411.0,0
413.0,1
414.0,1
423.0,0
433.0,0
444.0,0
446.0,0
450.0,0
456.0,1
463.0,0
468.0,0
471.0,0
486.0,0
489.0,0
500.0,0
550.0,0
551.0,0
556.0,0
557.0,1
571.0,0
576.0,0
581.0,0
588.0,0
591.0,0
596.0,0
628.0,0
631.0,0
632.0,0
645.0,0
647.0,0
659.0,0
661.0,1
663.0,0
687.0,0
692.0,0
697.0,0
705.0,0
709.0,0
710.0,0
711.0,0
720.0,0
721.0,0
729.0,0
735.0,0
755.0,0
760.0,0
764.0,0
770.0,0
771.0,0
776.0,0
778.0,0
782.0,0
796.0,0
798.0,0
808.0,0
818.0,0
822.0,0
830.0,0
841.0,0
846.0,0
850.0,0
852.0,0
862.0,0
865.0,0
876.0,0
877.0,0
878.0,1
882.0,0
883.0,0
891.0,0
899.0,0
903.0,0
909.0,0
914.0,0
917.0,0
920.0,0
923.0,0
927.0,0
929.0,0
934.0,1
942.0,0
944.0,0
946.0,0
948.0,0
949.0,0
950.0,0
951.0,0
963.0,0
966.0,0
968.0,0
969.0,0
971.0,0
972.0,0
974.0,0
975.0,0
998.0,0
1008.0,0
1014.0,0
1016.0,0
1017.0,0
1019.0,1
1021.0,0
1029.0,0
1041.0,0
1042.0,0
1052.0,1
1068.0,0
1069.0,0
1070.0,0
1072.0,0
1078.0,0
1081.0,0
1088.0,0
1090.0,0
1096.0,1
1097.0,0
1111.0,0
1114.0,0
1118.0,0
1122.0,0
1124.0,0
1132.0,0
1135.0,0
1138.0,0
1141.0,0
1142.0,0
1143.0,0
1155.0,0
1156.0,0
1160.0,0
1168.0,0
1170.0,0
1175.0,0
1176.0,0
1179.0,0
1180.0,0
1192.0,1
1196.0,0
1197.0,0
1198.0,0
1207.0,0
1211.0,1
1219.0,0
